algorithm,dataset,vectorCount,segments,deleteRatio,workers,distanceCount,wallMs,recall@100,MDR,epsRecall,initMs,repairMs,joinSetMs,insertMs,totalMs,heapBeforeMb,heapAfterMb,heapPeakMb,label,mergedSize,verify
LAZY_LIGHT,RANDOM,20000,2,0.2,1,21899074,1028.00,0.5053,1.0133,0.7778,3.26,0.00,0.00,995.19,1023.74,23.3,99.3,99.3,smoke,18417,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=155030/14790
REPAIR,RANDOM,20000,2,0.2,1,20130704,1005.31,0.6479,1.0077,0.9662,3.23,565.00,28.26,973.21,1001.48,23.3,135.3,135.3,smoke,18417,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/6417/565 lazy=0/0
SMART_MERGE,SIFT,512000,2,0.0,1,312875566,31324.22,0.9331,1.0018,0.9977,124.58,0.00,475.82,30177.60,30653.44,421.0,2445.0,2445.0,C1to6_sift512k,512000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,SIFT,512000,2,0.0,1,299710902,37290.51,0.9323,1.0018,0.9978,129.56,0.00,470.65,35373.55,35844.29,421.0,1885.0,1885.0,C1to6_sift512k,512000,igtm=162931/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
FGIM_P1,SIFT,512000,2,0.0,1,383720109,42039.70,0.9339,1.0017,0.9978,158.06,0.00,484.58,41558.48,42043.12,421.0,2054.2,3173.0,C1to6_sift512k,512000,igtm=0/0 fgimCQ=162931 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
LAZY_LIGHT,SIFT,512000,2,0.0,1,285851532,31451.03,0.9038,1.0030,0.9932,236.72,0.00,494.55,28214.38,29683.05,421.0,2293.0,2293.0,C1to6_sift512k,512000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=2349594/1555386
REPAIR,SIFT,512000,2,0.0,1,312875566,37170.11,0.9331,1.0018,0.9977,127.65,0.00,481.48,36641.95,37123.45,421.0,2437.0,2437.0,C1to6_sift512k,512000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,SIFT,512000,2,0.0,8,477494465,6610.28,0.9445,1.0014,0.9993,0.00,0.00,0.00,0.00,0.00,421.1,2493.1,2493.1,C1to6_sift512k,512000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,512000,2,0.0,8,477407103,6876.06,0.9452,1.0014,0.9993,0.00,0.00,0.00,0.00,0.00,421.1,2493.1,2493.1,C1to6_sift512k,512000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,SIFT,512000,2,0.2,1,381583074,41325.70,0.9466,1.0013,0.9987,281.36,0.00,0.00,41095.67,41095.67,467.3,2139.3,2139.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,SIFT,512000,2,0.2,1,381583074,41503.90,0.9466,1.0013,0.9987,241.50,0.00,0.00,41394.56,41394.56,467.3,2131.3,2131.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
FGIM_P1,SIFT,512000,2,0.2,1,381583074,42788.98,0.9466,1.0013,0.9987,247.89,0.00,0.00,42603.57,42603.58,467.3,2131.3,2131.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
LAZY_LIGHT,SIFT,512000,2,0.2,1,357722168,37150.82,0.8632,1.0051,0.9831,252.52,0.00,0.00,36301.62,37356.21,467.3,2067.3,2067.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=2177865/1191031
REPAIR,SIFT,512000,2,0.2,1,251138777,31338.67,0.9396,1.0015,0.9991,291.23,18526.00,507.62,33538.81,34046.45,467.3,2107.3,2107.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/163907/18526 lazy=0/0
SMART_MERGE,SIFT,512000,2,0.2,8,382005845,6656.92,0.9475,1.0013,0.9988,0.00,0.00,0.00,0.00,0.00,467.3,2155.3,2155.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,512000,2,0.2,8,381999887,5884.19,0.9475,1.0013,0.9989,0.00,18526.00,0.00,0.00,0.00,467.3,2155.3,2155.3,C1to6_sift512k,471107,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/163907/18526 lazy=0/0
SMART_MERGE,SIFT,1000000,2,0.0,1,622998020,83809.34,0.9215,1.0021,0.9977,307.59,0.00,994.80,79351.69,80346.53,818.8,4746.8,4746.8,C1to5_sift1m,1000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,SIFT,1000000,2,0.0,1,598291714,80577.24,0.9198,1.0022,0.9977,573.67,0.00,999.01,78377.19,79376.27,818.8,3666.8,3666.8,C1to5_sift1m,1000000,igtm=319317/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,2,0.0,1,622998020,97344.31,0.9215,1.0021,0.9977,337.80,0.00,1135.16,97105.28,98240.50,818.8,4738.8,4738.8,C1to5_sift1m,1000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,SIFT,1000000,2,0.0,8,951918392,42216.40,0.9325,1.0017,0.9988,0.00,0.00,0.00,0.00,0.00,818.9,4810.9,4810.9,C1to5_sift1m,1000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,2,0.0,8,951886590,48189.12,0.9317,1.0017,0.9990,0.00,0.00,0.00,0.00,0.00,818.9,4810.9,4810.9,C1to5_sift1m,1000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,SIFT,1000000,2,0.2,1,762710640,106629.73,0.9343,1.0017,0.9983,458.36,0.00,0.00,108919.30,108919.30,907.5,4179.5,4179.5,C1to5_sift1m,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,SIFT,1000000,2,0.2,1,762710640,102636.99,0.9343,1.0017,0.9983,426.91,0.00,0.00,111463.64,111463.64,907.5,4179.5,4179.5,C1to5_sift1m,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,2,0.2,1,501619116,64370.00,0.9238,1.0021,0.9974,284.46,38180.00,719.84,63997.82,64717.70,907.5,4115.5,4115.5,C1to5_sift1m,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/320076/38180 lazy=0/0
SMART_MERGE,SIFT,1000000,2,0.2,8,763049877,33058.90,0.9341,1.0017,0.9981,0.00,0.00,0.00,0.00,0.00,907.5,4243.5,4243.5,C1to5_sift1m,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,2,0.2,8,762915605,13431.77,0.9329,1.0017,0.9984,0.00,38180.00,0.00,0.00,0.00,907.5,4219.5,4219.5,C1to5_sift1m,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/320076/38180 lazy=0/0
SMART_MERGE,SIFT,1000000,5,0.2,1,762710640,93843.69,0.9343,1.0017,0.9983,327.96,0.00,0.00,95034.64,95034.64,899.3,4179.3,4179.3,C5_sift1m5,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,5,0.2,1,498848666,62156.81,0.9238,1.0020,0.9980,278.41,26212.00,507.13,61359.77,61866.97,899.3,3931.3,3931.3,C5_sift1m5,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=4/0/320076/26212 lazy=0/0
SMART_MERGE,SIFT,1000000,5,0.2,8,762989425,35402.44,0.9346,1.0017,0.9981,0.00,0.00,0.00,0.00,0.00,899.3,4243.3,4243.3,C5_sift1m5,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,SIFT,1000000,5,0.2,8,762891885,34172.24,0.9341,1.0017,0.9981,0.00,26212.00,0.00,0.00,0.00,899.3,4235.3,4235.3,C5_sift1m5,920076,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=4/0/320076/26212 lazy=0/0
SMART_MERGE,HFEMB,200000,2,0.0,1,113871829,18035.09,0.9720,1.0004,1.0000,72.15,0.00,203.33,17608.73,17812.08,363.5,1203.5,1203.5,C_hfemb200k,200000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,HFEMB,200000,2,0.0,1,108791411,16419.08,0.9720,1.0004,1.0000,75.51,0.00,187.29,16295.77,16483.10,363.5,955.5,955.5,C_hfemb200k,200000,igtm=62844/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,200000,2,0.0,1,113871829,18374.96,0.9720,1.0004,1.0000,69.61,0.00,196.11,17398.75,17594.89,363.5,1203.5,1203.5,C_hfemb200k,200000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,HFEMB,200000,2,0.0,8,172757988,9141.31,0.9727,1.0004,1.0000,0.00,0.00,0.00,0.00,0.00,363.5,1187.5,1187.5,C_hfemb200k,200000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,200000,2,0.0,8,172772458,3882.26,0.9728,1.0004,1.0000,0.00,0.00,0.00,0.00,0.00,363.5,1187.5,1187.5,C_hfemb200k,200000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,HFEMB,200000,2,0.2,1,137519756,20004.44,0.9742,1.0004,1.0000,59.20,0.00,0.00,19168.65,19168.66,382.3,1046.3,1046.3,C_hfemb200k,184081,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,HFEMB,200000,2,0.2,1,137519756,22540.58,0.9742,1.0004,1.0000,65.99,0.00,0.00,22119.06,22119.06,382.3,1046.3,1046.3,C_hfemb200k,184081,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,200000,2,0.2,1,90557298,14619.00,0.9728,1.0004,1.0000,62.06,9687.00,122.96,14831.48,14954.45,382.3,1054.3,1054.3,C_hfemb200k,184081,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/64081/9687 lazy=0/0
SMART_MERGE,HFEMB,200000,2,0.2,8,137960182,3151.14,0.9739,1.0004,1.0000,0.00,0.00,0.00,0.00,0.00,382.3,1070.3,1070.3,C_hfemb200k,184081,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,200000,2,0.2,8,137926512,5323.31,0.9738,1.0004,1.0000,0.00,9687.00,0.00,0.00,0.00,382.3,1070.3,1070.3,C_hfemb200k,184081,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/64081/9687 lazy=0/0
SMART_MERGE,HFEMB,2000000,2,0.0,1,1352446631,384656.93,0.9604,1.0009,0.9966,846.03,0.00,2947.31,380863.44,383810.81,3623.5,6383.5,8935.5,C_hfemb2m,2000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,2000000,2,0.0,1,1352446631,380309.22,0.9604,1.0009,0.9966,861.11,0.00,3168.44,376279.51,379448.01,3623.5,5154.9,8999.5,C_hfemb2m,2000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,HFEMB,2000000,2,0.0,8,2031772755,129516.95,0.9703,1.0005,1.0000,0.00,0.00,0.00,0.00,0.00,3623.6,4664.8,9031.6,C_hfemb2m,2000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,2000000,2,0.0,8,2036197027,122482.22,0.9705,1.0005,1.0000,0.00,0.00,0.00,0.00,0.00,3623.6,6802.3,9159.6,C_hfemb2m,2000000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,HFEMB,2000000,2,0.2,1,1623019688,440346.94,0.9701,1.0005,1.0000,886.79,0.00,0.00,439459.97,439459.97,3817.5,5753.5,9065.5,C_hfemb2m,1839765,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,2000000,2,0.2,1,1072332185,312162.17,0.9701,1.0005,1.0000,887.06,222417.00,2013.69,309261.18,311274.90,3817.5,6441.5,9065.5,C_hfemb2m,1839765,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/639765/222417 lazy=0/0
SMART_MERGE,HFEMB,2000000,2,0.2,8,1623160886,97628.56,0.9701,1.0005,1.0000,0.00,0.00,0.00,0.00,0.00,3817.5,5873.5,9097.5,C_hfemb2m,1839765,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
REPAIR,HFEMB,2000000,2,0.2,8,1624867322,98169.67,0.9701,1.0005,1.0000,0.00,222417.00,0.00,0.00,0.00,3817.5,5833.5,9129.5,C_hfemb2m,1839765,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=1/0/639765/222417 lazy=0/0
